Cluster,Elgiganten_N,Komplett_N,Elgiganten_Mean,Komplett_Mean,T-Statistic,P-Value,Significant
0.0,30,16,14717.9,18116.4375,-2.1069647792957067,0.0438628723595071,True
3.0,46,23,5525.304347826087,5255.608695652174,0.6430128327617771,0.5227407016951267,False
5.0,10,84,33983.3,36675.630952380954,-1.5516504750367621,0.13604287273245388,False
7.0,76,128,10853.144736842105,11008.3125,-0.38828759360912646,0.6982673764635683,False
9.0,84,100,20045.85714285714,20051.19,-0.009157752109753763,0.9927033039041229,False
