Name,Price,CPU,RAM,Storage,Retailer,RAM_GB,Storage_GB,TextFeatures,Cluster
"Acer Aspire 3 Cel/4/128 17.3"" bärbar dator",4996.0,Intel® Celeron® N100 processor,"4 GB DDR5 RAM, 128 GB eMMC-lagring",,Elgiganten,4.0,4.0,Intel® Celeron® N100 processor,6.0
"Acer Aspire 3 i3-N305/8/128 17.3"" bärbar dator",6996.0,Intel® Core™ i3-N305 processor,"8 GB DDR5 RAM, 128 GB eMMC-lagring",,Elgiganten,8.0,8.0,Intel® Core™ i3-N305 processor,6.0
Acer Chromebook 314 Cel/4/128GB 14” bärbar dator,3795.0,Intel Celeron N4500 processor,"4GB LPDDR4X RAM, 128GB eMMC-lagring",,Elgiganten,4.0,4.0,Intel Celeron N4500 processor,6.0
Acer Chromebook 314 Cel/4/64GB 14” bärbar dator,3495.0,Intel Celeron N4500 processor,"4GB LPDDR4X RAM, 64GB eMMC-lagring",,Elgiganten,4.0,4.0,Intel Celeron N4500 processor,6.0
Acer Chromebook 314 Cel/8/128GB 14” bärbar dator,3995.0,Intel Celeron N4500 processor,"8GB LPDDR4X RAM, 128GB eMMC-lagring",,Elgiganten,8.0,8.0,Intel Celeron N4500 processor,6.0
Acer Chromebook 314 MTK/4/32GB 14” bärbar dator,2986.0,unknown_cpu,"4 GB LPDDR4X RAM-minne, 32 GB eMMC-lagring",,Elgiganten,4.0,4.0,unknown_cpu,3.0
"Acer Chromebook Plus 514 i3-N355/8/128/IPS 14"" bärbar dator",4995.0,Intel® Core™ i3-N355 processor,"8GB LPDDR5X RAM, 128GB eMMC-lagring",,Elgiganten,8.0,8.0,Intel® Core™ i3-N355 processor,6.0
"Acer ChromeBook Plus 515 i3-12/8/128GB 15.6"" bärbar dator",5489.0,Intel® Core™ i3 1235U-processor,"8 GB LPDDR5X RAM-minne, 128 UFS lagringsutrymme",,Elgiganten,8.0,8.0,Intel® Core™ i3 1235U-processor,6.0
"Acer ChromeBook Plus 515 i5-12/8/256GB 15,6"" bärbar dator",5086.0,Intel® Core™ i5 1235U-processor,"8GB LPDDR5X RAM, 256 M.2 NVMe SSD",,Elgiganten,8.0,8.0,Intel® Core™ i5 1235U-processor,6.0
"Acer Swift 14 AI Snap-10C/16/1024 14"" Copilot+ PC",14499.0,unknown_cpu,"16GB LPDDR5X RAM, 1024GB M.2 SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
