Name,Price,CPU,RAM,Storage,Retailer,RAM_GB,Storage_GB,TextFeatures,Cluster
MacBook Air 15 M4 16/512GB (Silver),20990.0,Apple M4 chip 10-core SoC,"16 GB RAM, 512 GB SSD lagring",,Elgiganten,16.0,16.0,Apple M4 chip 10-core SoC,9.0
MacBook Air 15 M4 16/512GB (Sky Blue),20990.0,Apple M4 chip 10-core SoC,"16 GB RAM, 512 GB SSD lagring",,Elgiganten,16.0,16.0,Apple M4 chip 10-core SoC,9.0
MacBook Air 15 M4 16/512GB (Starlight),20990.0,Apple M4 chip 10-core SoC,"16 GB RAM, 512 GB SSD lagring",,Elgiganten,16.0,16.0,Apple M4 chip 10-core SoC,9.0
MacBook Air 15 M4 24/512GB (Midnight),23990.0,Apple M4 chip 10-core SoC,"24 GB RAM, 512 GB SSD lagring",,Elgiganten,24.0,24.0,Apple M4 chip 10-core SoC,1.0
MacBook Air 15 M4 24/512GB (Silver),23990.0,Apple M4 chip 10-core SoC,"24 GB RAM, 512 GB SSD lagring",,Elgiganten,24.0,24.0,Apple M4 chip 10-core SoC,1.0
MacBook Air 15 M4 24/512GB (Sky Blue),23990.0,Apple M4 chip 10-core SoC,"24 GB RAM, 512 GB SSD lagring",,Elgiganten,24.0,24.0,Apple M4 chip 10-core SoC,1.0
MacBook Air 15 M4 24/512GB (Starlight),23990.0,Apple M4 chip 10-core SoC,"24 GB RAM, 512 GB SSD lagring",,Elgiganten,24.0,24.0,Apple M4 chip 10-core SoC,1.0
MacBook Air 15.3 M3 16/256GB (Midnight),16495.0,Apple M3 chip 8c CPU/10c GPU,"16GB RAM, 256GB SSD-lagring",,Elgiganten,16.0,16.0,Apple M3 chip 8c CPU/10c GPU,9.0
MacBook Air 15.3 M3 16/256GB (Silver),16495.0,Apple M3 chip 8c CPU/10c GPU,"16GB RAM, 256GB SSD-lagring",,Elgiganten,16.0,16.0,Apple M3 chip 8c CPU/10c GPU,9.0
MacBook Air 15.3 M3 16/256GB (Space Grey),16495.0,Apple M3 chip 8c CPU/10c GPU,"16GB RAM, 256GB SSD-lagring",,Elgiganten,16.0,16.0,Apple M3 chip 8c CPU/10c GPU,9.0
MacBook Air 15.3 M3 16/256GB (Starlight),16495.0,Apple M3 chip 8c CPU/10c GPU,"16GB RAM, 256GB SSD lagring",,Elgiganten,16.0,16.0,Apple M3 chip 8c CPU/10c GPU,9.0
MacBook Air 15.3 M3 24/512GB (Silver),22495.0,Apple M3 chip 8c CPU/10c GPU,"24GB RAM, 512GB SSD-lagring",,Elgiganten,24.0,24.0,Apple M3 chip 8c CPU/10c GPU,9.0
MacBook Air M2 CTO 16/1TB (Space Gray),20995.0,Apple M2 chip octa-core SoC,"16 GB RAM, 1 TB SSD-lagring",,Elgiganten,16.0,16384.0,Apple M2 chip octa-core SoC,9.0
MacBook Air M2 CTO 16/256GB (Space Gray),15990.0,Apple M2 chip octa-core SoC,"16 GB RAM, 256 GB SSD-lagring",,Elgiganten,16.0,16.0,Apple M2 chip octa-core SoC,9.0
Macbook Air M2 CTO 16/512GB (Space Grey),18499.0,Apple M2 chip octa-core SoC,"16 GB RAM, 512 GB SSD-lagring",,Elgiganten,16.0,16.0,Apple M2 chip octa-core SoC,9.0
MacBook Pro 14 M4 16/1000GB (Silver),24490.0,Apple M4 chip 10c CPU/10c GPU,"16GB RAM, 1TB SSD",,Elgiganten,16.0,16384.0,Apple M4 chip 10c CPU/10c GPU,1.0
MacBook Pro 14 M4 16/1000GB (Space Black),25790.0,Apple M4 chip 10c CPU/10c GPU,"16GB RAM, 1TB SSD",,Elgiganten,16.0,16384.0,Apple M4 chip 10c CPU/10c GPU,1.0
MacBook Pro 14 M4 16/512GB (Silver),22990.0,Apple M4 chip 10c CPU/10c GPU,"16GB RAM, 512GB SSD",,Elgiganten,16.0,16.0,Apple M4 chip 10c CPU/10c GPU,9.0
MacBook Pro 14 M4 16/512GB (Space Black),22990.0,Apple M4 chip 10c CPU/10c GPU,"16GB RAM, 512GB SSD",,Elgiganten,16.0,16.0,Apple M4 chip 10c CPU/10c GPU,9.0
MacBook Pro 14 M4 Pro 24/512GB (Silver),27490.0,Apple M4 Pro chip 12c CPU/16c GPU,"24GB RAM, 512GB SSD",,Elgiganten,24.0,24.0,Apple M4 Pro chip 12c CPU/16c GPU,1.0
MacBook Pro 14 M4 Pro 24/512GB (Space Black),28995.0,Apple M4 Pro chip 12c CPU/16c GPU,"24GB RAM, 512GB SSD",,Elgiganten,24.0,24.0,Apple M4 Pro chip 12c CPU/16c GPU,1.0
MacBook Pro 16 M4 Pro 24/512GB (Silver),34990.0,Apple M4 Pro chip 14c CPU/20c GPU,"24GB RAM, 512GB SSD",,Elgiganten,24.0,24.0,Apple M4 Pro chip 14c CPU/20c GPU,7.0
MacBook Pro 16 M4 Pro 24/512GB (Space Black),35990.0,Apple M4 Pro chip 14c CPU/20c GPU,"24GB RAM, 512GB SSD",,Elgiganten,24.0,24.0,Apple M4 Pro chip 14c CPU/20c GPU,7.0
MacBook Pro 16 M4 Pro 48/512GB (Silver),41999.0,Apple M4 Pro chip 14c CPU/20c GPU,"48GB RAM, 512GB SSD",,Elgiganten,48.0,48.0,Apple M4 Pro chip 14c CPU/20c GPU,7.0
MacBook Pro 16 M4 Pro 48/512GB (Space Black),39990.0,Apple M4 Pro chip 14c CPU/20c GPU,"48GB RAM, 512GB SSD",,Elgiganten,48.0,48.0,Apple M4 Pro chip 14c CPU/20c GPU,7.0
"Microsoft Surface Laptop 10Core/16/512GB 13.8"" Copilot+ PC",16999.0,unknown_cpu,"16GB LPDDR5X RAM, 512GB SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
"Microsoft Surface Laptop 12Core/16/512GB 13.8"" Copilot+ PC",19499.0,unknown_cpu,"16GB LPDDR5X RAM, 512GB SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
"Microsoft Surface Laptop 12Core/16/512GB 15"" Copilot+ PC",19999.0,unknown_cpu,"16GB LPDDR5X RAM, 512GB SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
"Microsoft Surface Laptop 8C/16/256GB 13"" Copilot+ PC",13499.0,unknown_cpu,"16GB LPDDR5X RAM, 256GB SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
"Microsoft Surface Laptop 8C/16/512GB 13"" Copilot+ PC",14999.0,unknown_cpu,"16GB LPDDR5X RAM, 512GB SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
Microsoft Surface Pro 10Core/16/512GB 13” Copilot+ PC,16999.0,unknown_cpu,"16GB LPDDR5X RAM, 512GB SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
Microsoft Surface Pro 12Core/16/1000GB 13” Copilot+ PC,23490.0,unknown_cpu,"16GB LPDDR5X RAM, 1000GB SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
"Microsoft Surface Pro 8C/16/256GB 12"" Copilot+ PC",12795.0,unknown_cpu,"16GB LPDDR5X RAM, 256GB SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
"Microsoft Surface Pro 8C/16/512GB 12"" Copilot+ PC",13499.0,unknown_cpu,"16GB LPDDR5X RAM, 512GB SSD",,Elgiganten,16.0,16.0,unknown_cpu,3.0
"MSI Modern 14 i3-13/8/512 14"" bärbar dator",7995.0,Intel® Core™ i3-1315U processor,"8GB DDR4 RAM, 512GBM.2 SSD",,Elgiganten,8.0,8.0,Intel® Core™ i3-1315U processor,6.0
"MSI Prestige 14 H B13U i7-13/16/1000/RTX2050 14"" bärbar dator",8516.0,Intel® Core™ i7-13620H processor,"16GB DDR5 RAM, 1TB M.2 SSD",,Elgiganten,16.0,16384.0,Intel® Core™ i7-13620H processor,6.0
"Samsung Galaxy Book4 Core3-100U/8/256/IPS 15.6"" bärbar dator (grå)",7995.0,Intel® Core™ 3-100U processor,"8GB LPDDR4X RAM, 256GB M.2 SSD",,Elgiganten,8.0,8.0,Intel® Core™ 3-100U processor,6.0
"Samsung Galaxy Book4 Core3-100U/8/256/IPS 15.6"" bärbar dator (silver)",7286.0,Intel® Core™ 3-100U processor,"8GB LPDDR4X RAM, 256GB M.2 SSD",,Elgiganten,8.0,8.0,Intel® Core™ 3-100U processor,6.0
"Samsung Galaxy Book4 Core3-100U/8/256/IPS/WPRO 15.6"" bärbar dator (grå)",8495.0,Intel® Core™ 3-100U processor,"8GB LPDDR4X RAM, 256GB M.2 SSD",,Elgiganten,8.0,8.0,Intel® Core™ 3-100U processor,6.0
