Name,Price,CPU,RAM,Storage,GPU,Retailer,RAM_GB,Storage_GB,TextFeatures,Cluster
"Asus Vivobook i7-12/16/512/OLED 15,6"" laptop",13995,Intel® Core™ i7-1255U-processor,"16GB DDR4 RAM, 512GM M.2 PCIe SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ i7-1255U-processor unknown_gpu,7.0
"ASUS Vivobook S 14 M5406 AI 7-350/16/512/OLED 14"" Copilot+ PC",11995,AMD™ Ryzen™ AI 7 350 processor,"16 GB LPDDR5X RAM, 512 GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD™ Ryzen™ AI 7 350 processor unknown_gpu,7.0
"Asus Vivobook S 14 M5406 R5/16/512/OLED 14"" bärbar dator",7990,AMD Ryzen 5-7535HS processor,"16GB LPDDR5X RAM, 512GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen 5-7535HS processor unknown_gpu,7.0
"Asus Vivobook S 14 M5406 R7/16/512/OLED 14"" bärbar dator",8990,AMD Ryzen 7-8845HS processor,"16GB LPDDR5X RAM, 512GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen 7-8845HS processor unknown_gpu,7.0
"Asus Vivobook S 14 S5406SA U5-226V/16/512/OLED 14"" Copilot+ PC",13990,Intel® Core™ Ultra 5-226V processor,"16GB LPDDR5X RAM, 512GB M.2 PCIe SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 5-226V processor unknown_gpu,7.0
"Asus Vivobook S 15 S5507 Snap8C/16/512/OLED 15.6"" Copilot+ PC",8786,unknown_cpu,"16GB LPDDR5X RAM, 512GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,unknown_cpu unknown_gpu,0.0
"ASUS Vivobook X1504 Core5-120U/16GB/512/IPS 15.6"" bärbar dator",8995,Intel® Core™ 5-120U processor,"16GB DDR4 RAM, 512GB SSD lagring",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ 5-120U processor unknown_gpu,7.0
"ASUS Vivobook X1504 i3-1315U /8GB/128/IPS 15.6"" bärbar dator",7495,Intel® Core™ i3 processor,"8GB DDR4 RAM, 128GB SSD lagring",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3 processor unknown_gpu,3.0
"ASUS Vivobook X1504 i7-1355U/16GB/512/IPS 15.6"" bärbar dator",10995,Intel® Core™ i7 processor,"16GB DDR4 RAM, 512GB SSD lagring",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ i7 processor unknown_gpu,7.0
"Asus Zenbook A14 Snap8C/32/512GB/OLED 14"" Copilot+ PC",14999,unknown_cpu,"32GB LPDDR5X RAM, 512GB SSD-lagring",,unknown_gpu,Elgiganten,32.0,32.0,unknown_cpu unknown_gpu,0.0
"HP 240 G9/i5-1235U/16/256/14"" bärbar dator",9499,Intel® Core™ i5-1235U processor,"16 GB DDR4 RAM, 256 GB SSD storage",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ i5-1235U processor unknown_gpu,7.0
HP Chromebook x360 14 i3-N305/8/128/IPS 14” bärbar dator,5495,Intel Core® i3 N305 processor,"8 GB LPDDR5 RAM, 128GB Flash-lagring",,unknown_gpu,Elgiganten,8.0,8.0,Intel Core® i3 N305 processor unknown_gpu,3.0
HP Chromebook x360 14 N100/4/128/IPS 14” bärbar dator,4495,Intel® N100 processor,"4 GB LPDDR5 RAM, 128GB Flash-lagring",,unknown_gpu,Elgiganten,4.0,4.0,Intel® N100 processor unknown_gpu,3.0
"HP EliteBook 640 G10/i5-1335U/16/256/14"" bärbar dator",15999,Intel® Core™ i5-1335U processor,"16 GB DDR4 RAM, 256 GB SSD lagring",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ i5-1335U processor unknown_gpu,7.0
"HP EliteBook 830 G11 Ultra-5/16/512 13.3"" bärbar dator",20699,Intel® Core™ Ultra 5 125U processor,"16 GB DDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 5 125U processor unknown_gpu,9.0
"HP EliteBook 830 G11 Ultra-5/32/512 13.3"" bärbar dator",24999,Intel® Core™ Ultra 5 125U processor,"32 GB DDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,32.0,32.0,Intel® Core™ Ultra 5 125U processor unknown_gpu,9.0
"HP EliteBook 840 G11 Ultra-5/16/512 14"" bärbar dator",23399,Intel® Core™ Ultra 5 125H processor,"16 GB DDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 5 125H processor unknown_gpu,9.0
"HP EliteBook 840 G11 Ultra-5/16/512 14"" bärbar dator",23399,Intel® Core™ Ultra 5 125H processor,"16 GB DDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 5 125H processor unknown_gpu,9.0
"HP EliteBook 840 G11 Ultra-5/16/512 14"" bärbar dator",20699,Intel® Core™ Ultra 5 125U processor,"16 GB DDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 5 125U processor unknown_gpu,9.0
"HP EliteBook 840 G11 Ultra-5/16/512 14"" bärbar dator",20699,Intel® Core™ Ultra 5 125U processor,"16 GB DDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 5 125U processor unknown_gpu,9.0
"HP EliteBook 840 G11 Ultra-7/16/512 14"" bärbar dator",23399,Intel® Core™ Ultra 7 155U processor,"16 GB DDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 7 155U processor unknown_gpu,9.0
"HP EliteBook 860 G11 Ultra-5/16/512 16"" bärbar dator",20699,Intel® Core™ Ultra 5 125H processor,"16 GB DDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 5 125H processor unknown_gpu,9.0
"HP EliteBook 860 G11 Ultra-7/16/512 16"" bärbar dator",23399,Intel® Core™ Ultra 7 155H processor,"16 GB DDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 7 155H processor unknown_gpu,9.0
"HP Envy x360 14"" bärbar dator R7-8840HS/16/512",12995,AMD Ryzen™ 7 8840HS,"16 GB LPDDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen™ 7 8840HS unknown_gpu,7.0
HP Envy X360 R5-8640HS/16/512 2-i-1 bärbar dator,12996,AMD Ryzen 5 8640HS processor,"16GB LPDDR5 RAM, 512GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen 5 8640HS processor unknown_gpu,7.0
HP Envy X360 R5-8640HS/16/512GB 2-i-1 bärbar dator,11995,AMD Ryzen™ 5 8640HS processor,"16GB LPDDR5 RAM, 512GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen™ 5 8640HS processor unknown_gpu,7.0
HP Envy X360 R7-8840HS/16/1024 2-i-1 bärbar dator,10936,AMD Ryzen 7 8840HS processor,"16GB LPDDR5 RAM, 1024GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen 7 8840HS processor unknown_gpu,7.0
"HP Laptop 14-ep0803no N100/4/128 14"" bärbar dator",3295,Intel® N100 processor,"4 GB DDR4 RAM, 128 GB flashlagring",,unknown_gpu,Elgiganten,4.0,4.0,Intel® N100 processor unknown_gpu,3.0
"HP Laptop 14-ep0807no N305/8/128 14"" bärbar dator",7495,Intel® Core™ i3-N305 processor,"8 GB DDR4 RAM, 128 GB flashlagring",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3-N305 processor unknown_gpu,3.0
"HP Laptop 14-ep0829no i5/16/512 14"" bärbar dator",9995,Intel® Core™ i5-1334U processor,"16 GB DDR4 RAM, 512 GB SSD lagring",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ i5-1334U processor unknown_gpu,7.0
"HP Laptop 15-fc0827no R3-7320U/8/128 15.6"" bärbar dator",7495,AMD Ryzen™ 3 7320U processor,"8 GB LPDDR5 RAM, 128 GB SSD",,unknown_gpu,Elgiganten,8.0,8.0,AMD Ryzen™ 3 7320U processor unknown_gpu,7.0
"HP Laptop 15-fc0828no R5-7520U/16/512 15.6"" bärbar dator",9995,AMD Ryzen™ 5 7520U processor,"16 GB LPDDR5 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen™ 5 7520U processor unknown_gpu,7.0
"HP Laptop 15-fc0851no R7-7730U/16/512 15.6"" bärbar dator",10495,AMD Ryzen™ 7 7730U processor,"16 GB DDR4 RAM, 512 GB SSD",,unknown_gpu,Elgiganten,16.0,16.0,AMD Ryzen™ 7 7730U processor unknown_gpu,7.0
"HP Laptop 15-fc0852no R7-7730U/16/1024 15.6"" bärbar dator",10995,AMD Ryzen™ 7 7730U processor,"16 GB DDR4 RAM, 1 TB SSD",,unknown_gpu,Elgiganten,16.0,16384.0,AMD Ryzen™ 7 7730U processor unknown_gpu,7.0
HP Laptop 17-cn3802no i3-N305/8/128GB bärbar dator,6996,Intel Core i3-N305 processor,"8 GB DDR4 RAM, 128 GB UFS-lagring",,unknown_gpu,Elgiganten,8.0,8.0,Intel Core i3-N305 processor unknown_gpu,3.0
"HP Laptop 17-cn3851no17 N4120/4/128 17.3"" bärbar dator",4495,Intel™ 3 N100 processor,"4 GB DDR4 RAM, 128GB Flash-lagring",,unknown_gpu,Elgiganten,4.0,4.0,Intel™ 3 N100 processor unknown_gpu,3.0
"HP Laptop 17-cp2817no 17 R3-7320U /8/128 17.3"" bärbar dator",5995,AMD Ryzen™ 3 7320U processor,"8 GB LPDDR5 RAM, 128 GB SSD",,unknown_gpu,Elgiganten,8.0,8.0,AMD Ryzen™ 3 7320U processor unknown_gpu,7.0
